GENESIS-Tabelle: 41261-0012
Schadholzeinschlag: Bundesländer, Jahre, Einschlagsursache,;;;;;;;;;;;;;;;;;;;
Holzartengruppen, Waldeigentumsarten;;;;;;;;;;;;;;;;;;;
Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);;;;;;;;;;;;;;;;;;;
Schadholzeinschlag (1000 cbm);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
Year;Cause;Tree_type;Owner;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2009;Wind/Sturm;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);1,2;0,9;-;0,4;-;-;14,2;0,1;1,1;1,7;0,2;0,1;0,1;0,8;0,0;0,0
2009;Wind/Sturm;Eiche und Roteiche;Körperschaftswald;3,7;1,2;-;0,0;-;-;17,2;-;0,0;1,3;3,4;0,0;0,0;0,0;-;0,0
2009;Wind/Sturm;Eiche und Roteiche;Privatwald;0,7;42,7;-;0,2;-;-;-;-;1,7;6,2;0,1;-;-;0,1;0,1;0,1
2009;Wind/Sturm;Eiche und Roteiche;Insgesamt;5,5;44,8;-;0,6;-;-;31,4;0,1;2,9;9,2;3,7;0,1;0,1;0,8;0,1;0,2
2009;Wind/Sturm;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);21,5;15,7;-;0,9;-;-;7,2;0,4;1,8;17,7;1,9;0,1;0,7;1,1;0,0;1,6
2009;Wind/Sturm;Buche und sonstiges Laubholz;Körperschaftswald;42,3;13,7;-;0,3;-;-;4,3;-;0,3;4,9;6,6;0,1;0,1;0,0;0,0;0,5
2009;Wind/Sturm;Buche und sonstiges Laubholz;Privatwald;10,5;101,6;-;0,6;-;-;-;-;6,6;21,6;0,4;-;-;0,2;0,0;0,9
2009;Wind/Sturm;Buche und sonstiges Laubholz;Insgesamt;74,3;131,0;-;1,7;-;-;11,6;0,4;8,7;44,2;9,0;0,2;0,8;1,3;0,1;3,0
2009;Wind/Sturm;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);3,8;15,7;0,2;5,3;-;-;11,5;0,0;1,4;5,9;8,6;0,0;1,7;4,6;0,1;1,1
2009;Wind/Sturm;Kiefer und Lärche;Körperschaftswald;6,1;6,1;-;0,6;-;-;9,8;-;0,3;15,6;0,7;-;0,1;0,0;-;0,2
2009;Wind/Sturm;Kiefer und Lärche;Privatwald;1,9;123,0;-;3,5;-;-;-;-;17,4;37,8;0,0;-;-;1,5;0,0;0,3
2009;Wind/Sturm;Kiefer und Lärche;Insgesamt;11,7;144,8;0,2;9,3;-;-;21,3;0,0;19,1;59,3;9,3;0,0;1,8;6,2;0,1;1,6
2009;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);148,9;145,0;-;0,4;-;-;50,6;0,1;5,0;170,5;15,7;0,2;8,3;3,5;0,1;10,5
2009;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;267,7;34,5;-;0,1;-;-;98,2;-;1,7;61,1;65,9;0,2;1,4;0,0;0,1;4,0
2009;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;244,1;351,1;-;0,3;-;-;-;-;21,2;775,9;10,6;-;0,2;0,6;1,1;9,2
2009;Wind/Sturm;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;660,6;530,7;-;0,8;-;-;148,8;0,1;27,9;1007,5;92,2;0,4;9,9;4,1;1,3;23,7
2009;Wind/Sturm;Insgesamt;Staatswald (Bundes- und Landeswald);175,3;177,3;0,2;7,0;-;-;83,5;0,6;9,3;195,8;26,4;0,5;10,8;10,0;0,2;13,2
2009;Wind/Sturm;Insgesamt;Körperschaftswald;319,7;55,6;-;1,1;-;-;129,6;-;2,2;82,9;76,6;0,3;1,6;0,1;0,1;4,7
2009;Wind/Sturm;Insgesamt;Privatwald;257,1;618,4;-;4,5;-;-;-;-;47,0;841,5;11,2;-;0,2;2,4;1,2;10,5
2009;Wind/Sturm;Insgesamt;Insgesamt;752,2;851,2;0,2;12,5;-;-;213,1;0,6;58,5;1120,2;114,2;0,7;12,6;12,4;1,6;28,5
2009;Schnee/Duft;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);0,3;0,1;-;0,1;-;-;0,2;-;-;0,1;-;0,1;0,1;0,0;-;0,0
2009;Schnee/Duft;Eiche und Roteiche;Körperschaftswald;0,2;-;-;0,0;-;-;0,1;-;0,0;-;0,1;-;0,0;-;-;-
2009;Schnee/Duft;Eiche und Roteiche;Privatwald;0,1;-;-;0,0;-;-;-;-;-;0,0;0,1;-;-;-;-;-
2009;Schnee/Duft;Eiche und Roteiche;Insgesamt;0,7;0,1;-;0,1;-;-;0,2;-;0,0;0,1;0,2;0,1;0,1;0,0;-;0,0
2009;Schnee/Duft;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);3,2;2,4;-;0,0;-;-;0,0;-;0,0;-;-;0,0;0,6;0,0;-;0,1
2009;Schnee/Duft;Buche und sonstiges Laubholz;Körperschaftswald;5,2;-;-;0,0;-;-;0,1;-;-;0,0;0,2;-;0,1;-;-;0,1
2009;Schnee/Duft;Buche und sonstiges Laubholz;Privatwald;1,1;-;-;0,0;-;-;-;-;0,1;0,3;0,0;-;-;-;-;0,1
2009;Schnee/Duft;Buche und sonstiges Laubholz;Insgesamt;9,5;2,4;-;0,1;-;-;0,1;-;0,1;0,3;0,2;0,0;0,7;0,0;-;0,3
2009;Schnee/Duft;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);0,5;1,0;-;0,6;-;-;0,4;-;0,0;-;-;-;0,5;0,0;-;0,2
2009;Schnee/Duft;Kiefer und Lärche;Körperschaftswald;1,7;-;-;0,1;-;-;0,4;-;0,0;0,0;0,1;-;0,0;0,0;-;0,0
2009;Schnee/Duft;Kiefer und Lärche;Privatwald;0,4;-;-;0,4;-;-;-;-;1,2;2,0;-;-;-;0,1;-;0,5
2009;Schnee/Duft;Kiefer und Lärche;Insgesamt;2,6;1,0;-;1,1;-;-;0,7;-;1,3;2,0;0,1;-;0,5;0,1;-;0,7
2009;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);16,4;25,6;-;0,0;-;-;5,2;-;-;4,8;5,1;0,2;46,3;0,0;-;1,7
2009;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;51,0;-;-;-;-;-;4,5;-;0,0;0,1;10,0;0,1;1,9;-;-;0,3
2009;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;35,6;-;-;0,0;-;-;-;-;0,3;4,7;1,5;-;0,1;-;0,0;0,6
2009;Schnee/Duft;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;102,9;25,6;-;0,0;-;-;9,7;-;0,3;9,7;16,6;0,3;48,3;0,0;0,0;2,6
2009;Schnee/Duft;Insgesamt;Staatswald (Bundes- und Landeswald);20,4;29,1;-;0,7;-;-;5,8;-;0,0;4,9;5,1;0,3;47,5;0,1;-;2,0
2009;Schnee/Duft;Insgesamt;Körperschaftswald;58,1;-;-;0,1;-;-;5,0;-;0,1;0,1;10,4;0,1;2,0;0,0;-;0,4
2009;Schnee/Duft;Insgesamt;Privatwald;37,1;-;-;0,4;-;-;-;-;1,6;7,1;1,7;-;0,1;0,1;0,0;1,1
2009;Schnee/Duft;Insgesamt;Insgesamt;115,7;29,1;-;1,2;-;-;10,8;-;1,7;12,1;17,1;0,3;49,6;0,2;0,0;3,6
2009;Insekten;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);0,2;0,2;-;0,5;-;-;-;-;0,0;0,6;0,5;0,0;0,1;4,1;-;0,0
2009;Insekten;Eiche und Roteiche;Körperschaftswald;1,0;0,3;-;0,0;-;-;0,0;-;0,0;0,0;0,6;0,1;0,0;-;0,1;0,0
2009;Insekten;Eiche und Roteiche;Privatwald;0,1;7,5;-;0,2;-;-;-;-;2,5;1,2;-;-;-;0,2;0,0;0,0
2009;Insekten;Eiche und Roteiche;Insgesamt;1,3;8,0;-;0,7;-;-;0,0;-;2,6;1,9;1,1;0,1;0,1;4,3;0,1;0,0
2009;Insekten;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);2,6;0,6;-;0,7;-;-;0,1;-;0,3;0,6;-;0,1;0,2;1,3;0,0;0,4
2009;Insekten;Buche und sonstiges Laubholz;Körperschaftswald;3,7;0,6;-;0,2;-;-;0,0;-;0,1;0,4;0,0;0,0;0,0;-;-;0,0
2009;Insekten;Buche und sonstiges Laubholz;Privatwald;0,8;8,5;-;0,5;-;-;-;-;1,1;2,3;0,1;-;-;0,0;-;0,2
2009;Insekten;Buche und sonstiges Laubholz;Insgesamt;7,0;9,7;-;1,4;-;-;0,1;-;1,4;3,2;0,1;0,1;0,2;1,4;0,0;0,6
2009;Insekten;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);2,4;2,8;0,0;3,8;-;-;5,5;0,1;0,9;1,1;0,1;0,1;1,2;1,8;0,0;0,5
2009;Insekten;Kiefer und Lärche;Körperschaftswald;2,2;1,6;-;0,4;-;-;5,1;-;0,1;0,6;0,3;0,0;0,0;0,1;0,0;0,4
2009;Insekten;Kiefer und Lärche;Privatwald;0,5;73,6;-;2,5;-;-;-;-;3,5;2,2;0,0;-;0,0;2,6;0,0;0,7
2009;Insekten;Kiefer und Lärche;Insgesamt;5,1;78,1;0,0;6,8;-;-;10,6;0,1;4,5;4,0;0,4;0,1;1,2;4,5;0,1;1,6
2009;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);43,5;541,1;-;2,5;-;0,1;395,5;0,2;28,7;103,1;18,3;4,0;30,2;37,1;1,0;79,1
2009;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;48,9;125,2;-;0,7;-;-;372,1;-;6,7;125,3;41,2;2,4;2,8;1,9;2,5;28,3
2009;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;51,5;1029,2;-;1,6;-;-;-;-;92,6;411,4;22,0;-;1,0;4,5;2,2;71,6
2009;Insekten;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;143,9;1695,5;-;4,9;-;0,1;767,7;0,2;128,0;639,8;81,5;6,4;34,0;43,5;5,6;179,0
2009;Insekten;Insgesamt;Staatswald (Bundes- und Landeswald);48,7;544,8;0,0;7,5;-;0,1;401,1;0,3;29,9;105,4;18,9;4,2;31,7;44,3;1,0;80,0
2009;Insekten;Insgesamt;Körperschaftswald;55,8;127,7;-;1,4;-;-;377,3;-;6,9;126,3;42,2;2,4;2,8;2,0;2,6;28,7
2009;Insekten;Insgesamt;Privatwald;52,9;1118,8;-;4,8;-;-;-;-;99,7;417,1;22,1;-;1,0;7,3;2,2;72,5
2009;Insekten;Insgesamt;Insgesamt;157,4;1791,3;0,0;13,7;-;0,1;778,3;0,3;136,5;648,8;83,2;6,6;35,5;53,7;5,8;181,2
2009;Trockenheit;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Eiche und Roteiche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Eiche und Roteiche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Eiche und Roteiche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Buche und sonstiges Laubholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Buche und sonstiges Laubholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Buche und sonstiges Laubholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Kiefer und Lärche;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Kiefer und Lärche;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Kiefer und Lärche;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Insgesamt;Staatswald (Bundes- und Landeswald);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Insgesamt;Körperschaftswald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Insgesamt;Privatwald;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Trockenheit;Insgesamt;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009;Sonstiges;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);1,9;0,7;-;7,1;-;0,0;15,9;1,1;0,4;0,2;0,6;0,1;0,2;4,6;0,1;0,0
2009;Sonstiges;Eiche und Roteiche;Körperschaftswald;5,7;-;-;0,7;-;-;24,1;-;0,0;1,0;0,7;-;-;1,3;0,5;0,1
2009;Sonstiges;Eiche und Roteiche;Privatwald;0,3;-;-;2,7;-;-;-;-;3,9;3,9;0,0;-;-;1,7;-;0,1
2009;Sonstiges;Eiche und Roteiche;Insgesamt;7,8;0,7;-;10,5;-;0,0;40,0;1,1;4,3;5,1;1,3;0,1;0,2;7,7;0,6;0,3
2009;Sonstiges;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);11,1;10,3;-;1,0;-;0,0;6,3;0,0;6,0;0,7;2,3;0,3;0,7;1,0;1,3;3,0
2009;Sonstiges;Buche und sonstiges Laubholz;Körperschaftswald;23,5;-;-;0,4;-;-;5,6;-;0,1;1,2;2,7;-;0,1;0,0;2,2;3,1
2009;Sonstiges;Buche und sonstiges Laubholz;Privatwald;1,8;-;-;0,7;-;-;-;-;3,4;19,1;0,0;-;-;0,5;3,9;2,2
2009;Sonstiges;Buche und sonstiges Laubholz;Insgesamt;36,2;10,3;-;2,1;-;0,0;11,8;0,0;9,3;21,0;5,0;0,3;0,8;1,5;7,3;8,3
2009;Sonstiges;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);7,0;6,0;-;5,3;-;-;20,0;0,7;4,7;0,4;0,5;-;0,3;1,3;0,1;0,6
2009;Sonstiges;Kiefer und Lärche;Körperschaftswald;8,7;-;-;0,5;-;-;15,3;-;0,4;0,5;0,4;-;0,4;0,2;0,6;0,1
2009;Sonstiges;Kiefer und Lärche;Privatwald;0,6;-;-;3,4;-;-;-;-;8,8;2,6;-;-;-;1,8;0,1;0,0
2009;Sonstiges;Kiefer und Lärche;Insgesamt;16,3;6,0;-;9,2;-;-;35,3;0,7;13,8;3,5;1,0;-;0,7;3,2;0,9;0,7
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);9,1;25,1;-;1,5;-;0,1;12,6;0,1;2,7;4,4;2,4;0,3;0,7;1,0;0,4;4,8
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;19,3;-;-;0,4;-;-;15,4;-;2,1;2,0;6,5;0,0;0,1;0,2;0,5;3,3
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;11,2;-;-;1,0;-;-;-;-;10,0;32,3;0,8;-;-;0,5;0,1;6,0
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;39,5;25,1;-;2,9;-;0,1;28,0;0,1;14,9;38,7;9,7;0,3;0,7;1,7;0,9;14,2
2009;Sonstiges;Insgesamt;Staatswald (Bundes- und Landeswald);29,0;42,0;-;14,8;-;0,1;54,9;1,9;13,6;5,9;5,9;0,6;1,9;7,9;1,9;8,5
2009;Sonstiges;Insgesamt;Körperschaftswald;57,1;-;-;2,1;-;-;60,4;-;2,7;4,6;10,4;0,0;0,5;1,7;3,8;6,6
2009;Sonstiges;Insgesamt;Privatwald;13,8;-;-;7,8;-;-;-;-;26,1;57,8;0,8;-;-;4,4;4,0;8,3
